territory_no,habitat,week_no,pre_post_treatment,pre_post_removal,pair_id,fertilizer_treatment,territory_id,total_fish,territory_length,territory_width,territory_height,count,fish_size
T1,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,N,1-A-R-N,2,90,64,74,2,12
T2,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,5,213,122,150,3,12
T2,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,5,213,122,150,1,10
T2,Fringing,0,Pre-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,5,213,122,150,1,14
T3,Fringing,0,Pre-treatment,Pre-removal,B-Fringing,N,3-B-R-N,3,163,134,82,3,14
T4,Fringing,0,Pre-treatment,Pre-removal,B-Fringing,Y,4-B-R-Y,3,162,135,135,3,14
T5,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,N,5-C-R-N,6,203,117,160,3,12
T5,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,N,5-C-R-N,6,203,117,160,3,14
T6,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,142,190,3,8
T6,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,142,190,3,10
T6,Fringing,0,Pre-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,142,190,2,12
T7,Fringing,0,Pre-treatment,Pre-removal,D-Fringing,N,7-D-R-N,4,140,95,72,4,12
T8,Fringing,0,Pre-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,5,144,98,70,4,12
T8,Fringing,0,Pre-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,5,144,98,70,1,8
T9,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,N,9-E-R-N,7,118,140,120,4,14
T9,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,N,9-E-R-N,7,118,140,120,3,12
T10,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,3,143,95,98,1,12
T10,Fringing,0,Pre-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,3,143,95,98,2,10
T11,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,5,160,66,105,3,12
T11,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,5,160,66,105,1,10
T11,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,5,160,66,105,1,8
T12,Fringing,0,Pre-treatment,Pre-removal,F-Fringing,N,12-F-R-N,4,80,115,42,4,12
T13,Fringing,0,Pre-treatment,Pre-removal,G-Fringing,Y,13-G-R-Y,4,105,134,64,4,12
T14,Fringing,0,Pre-treatment,Pre-removal,G-Fringing,N,14-G-R-N,3,40,71,89,1,15
T14,Fringing,0,Pre-treatment,Pre-removal,G-Fringing,N,14-G-R-N,3,40,71,89,1,12
T15,Fringing,0,Pre-treatment,Pre-removal,H-Fringing,N,15-H-R-N,2,116,93,22,2,12
T16,Fringing,0,Pre-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,114,67,38,2,12
T16,Fringing,0,Pre-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,114,67,38,1,10
T17,Fringing,0,Pre-treatment,Pre-removal,I-Fringing,N,17-I-R-N,3,119,75,76,3,12
T18,Fringing,0,Pre-treatment,Pre-removal,I-Fringing,Y,18-I-R-Y,4,87,112,28,4,12
T19,Fringing,0,Pre-treatment,Pre-removal,J-Fringing,N,19-J-R-N,3,75,76,37,3,13
T20,Fringing,0,Pre-treatment,Pre-removal,J-Fringing,Y,20-J-R-Y,2,105,90,45,2,13
T21,Fringing,0,Pre-treatment,Pre-removal,K-Fringing,N,21-K-R-N,4,160,90,105,4,12
T22,Fringing,0,Pre-treatment,Pre-removal,K-Fringing,Y,22-K-R-Y,3,95,66,63,2,12
T22,Fringing,0,Pre-treatment,Pre-removal,K-Fringing,Y,22-K-R-Y,3,95,66,63,1,10
T23,Fringing,0,Pre-treatment,Pre-removal,L-Fringing,N,23-L-R-N,2,80,50,30,2,10
T24,Fringing,0,Pre-treatment,Pre-removal,L-Fringing,Y,24-L-R-Y,7,205,162,64,4,12
T24,Fringing,0,Pre-treatment,Pre-removal,L-Fringing,Y,24-L-R-Y,7,205,162,64,3,10
T25,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,Y,25-M-R-Y,3,141,200,22,3,12
T26,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,N,26-M-R-N,3,140,105,35,1,12
T26,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,N,26-M-R-N,3,140,105,35,1,8
T26,Fringing,0,Pre-treatment,Pre-removal,M-Fringing,N,26-M-R-N,3,140,105,35,1,10
T27,Fringing,0,Pre-treatment,Pre-removal,N-Fringing,Y,27-N-R-Y,2,67,53,36,1,10
T27,Fringing,0,Pre-treatment,Pre-removal,N-Fringing,Y,27-N-R-Y,2,67,53,36,1,4
T28,Fringing,0,Pre-treatment,Pre-removal,N-Fringing,N,28-N-R-N,2,84,76,122,2,14
T29,Fringing,0,Pre-treatment,Pre-removal,O-Fringing,N,29-O-R-N,2,56,74,103,1,10
T29,Fringing,0,Pre-treatment,Pre-removal,O-Fringing,N,29-O-R-N,2,56,74,103,1,8
T30,Fringing,0,Pre-treatment,Pre-removal,O-Fringing,Y,30-O-R-Y,1,142,51,36,1,14
T31,Backreef,0,Pre-treatment,Pre-removal,A-Backreef,N,31-A-B-N,3,130,78,62,3,14
T32,Backreef,0,Pre-treatment,Pre-removal,A-Backreef,Y,32-A-B-Y,2,140,111,133,2,14
T33,Backreef,0,Pre-treatment,Pre-removal,B-Backreef,Y,33-B-B-Y,3,85,65,48,3,14
T34,Backreef,0,Pre-treatment,Pre-removal,B-Backreef,N,34-B-B-N,4,145,86,48,2,14
T34,Backreef,0,Pre-treatment,Pre-removal,B-Backreef,N,34-B-B-N,4,145,86,48,2,12
T35,Backreef,0,Pre-treatment,Pre-removal,C-Backreef,N,35-C-B-N,5,85,97,46,5,14
T36,Backreef,0,Pre-treatment,Pre-removal,C-Backreef,Y,36-C-B-Y,4,170,182,43,4,12
T37,Backreef,0,Pre-treatment,Pre-removal,D-Backreef,Y,37-D-B-Y,3,142,67,48,2,14
T37,Backreef,0,Pre-treatment,Pre-removal,D-Backreef,Y,37-D-B-Y,3,142,67,48,1,12
T38,Backreef,0,Pre-treatment,Pre-removal,D-Backreef,N,38-D-B-N,1,65,72,60,1,14
T39,Backreef,0,Pre-treatment,Pre-removal,E-Backreef,Y,39-E-B-Y,1,80,65,68,1,12
T40,Backreef,0,Pre-treatment,Pre-removal,E-Backreef,N,40-E-B-N,3,70,65,62,3,12
T41,Backreef,0,Pre-treatment,Pre-removal,F-Backreef,N,41-F-B-N,2,100,82,76,2,14
T42,Backreef,0,Pre-treatment,Pre-removal,F-Backreef,Y,42-F-B-Y,2,116,68,46,2,14
T43,Backreef,0,Pre-treatment,Pre-removal,G-Backreef,N,43-G-B-N,4,111,48,44,3,12
T43,Backreef,0,Pre-treatment,Pre-removal,G-Backreef,N,43-G-B-N,4,111,48,44,1,6
T44,Backreef,0,Pre-treatment,Pre-removal,G-Backreef,Y,44-G-B-Y,1,55,55,62,1,14
T45,Backreef,0,Pre-treatment,Pre-removal,H-Backreef,N,45-H-B-N,2,102,76,64,2,14
T46,Backreef,0,Pre-treatment,Pre-removal,H-Backreef,Y,46-H-B-Y,2,80,48,64,2,14
T47,Backreef,0,Pre-treatment,Pre-removal,I-Backreef,Y,47-I-B-Y,4,145,150,63,4,14
T48,Backreef,0,Pre-treatment,Pre-removal,I-Backreef,N,48-I-B-N,3,107,88,74,3,14
T49,Backreef,0,Pre-treatment,Pre-removal,J-Backreef,N,49-J-B-N,3,143,110,55,3,14
T50,Backreef,0,Pre-treatment,Pre-removal,J-Backreef,Y,50-J-B-Y,2,122,84,53,2,14
T51,Backreef,0,Pre-treatment,Pre-removal,K-Backreef,Y,51-K-B-Y,3,167,35,79,3,14
T52,Backreef,0,Pre-treatment,Pre-removal,K-Backreef,N,52-K-B-N,2,70,53,48,2,14
T53,Backreef,0,Pre-treatment,Pre-removal,L-Backreef,N,53-L-B-N,3,79,83,36,3,12
T54,Backreef,0,Pre-treatment,Pre-removal,L-Backreef,Y,54-L-B-Y,3,270,116,64,3,14
T55,Backreef,0,Pre-treatment,Pre-removal,M-Backreef,Y,55-M-B-Y,3,232,194,46,2,13
T56,Backreef,0,Pre-treatment,Pre-removal,M-Backreef,N,56-M-B-N,3,110,67,85,3,14
T57,Backreef,0,Pre-treatment,Pre-removal,N-Backreef,Y,57-N-B-Y,4,183,100,82,4,14
T58,Backreef,0,Pre-treatment,Pre-removal,N-Backreef,N,58-N-B-N,1,60,55,34,1,14
T59,Backreef,0,Pre-treatment,Pre-removal,O-Backreef,N,59-O-B-N,2,190,166,95,2,12
T60,Backreef,0,Pre-treatment,Pre-removal,O-Backreef,Y,60-O-B-Y,2,91,75,60,2,12
T1,Fringing,3,Post-treatment,Pre-removal,A-Fringing,N,1-A-R-N,2,90,64,74,2,12
T2,Fringing,3,Post-treatment,Pre-removal,A-Fringing,Y,2-A-R-Y,4,215,120,150,4,14
T3,Fringing,3,Post-treatment,Pre-removal,B-Fringing,N,3-B-R-N,3,163,130,82,3,14
T4,Fringing,3,Post-treatment,Pre-removal,B-Fringing,Y,4-B-R-Y,3,153,142,135,3,14
T5,Fringing,3,Post-treatment,Pre-removal,C-Fringing,N,5-C-R-N,5,200,120,160,3,12
T5,Fringing,3,Post-treatment,Pre-removal,C-Fringing,N,5-C-R-N,5,200,120,160,2,13
T6,Fringing,3,Post-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,94,72,5,8
T6,Fringing,3,Post-treatment,Pre-removal,C-Fringing,Y,6-C-R-Y,8,216,94,72,3,12
T7,Fringing,3,Post-treatment,Pre-removal,D-Fringing,N,7-D-R-N,4,134,117,72,4,12
T8,Fringing,3,Post-treatment,Pre-removal,D-Fringing,Y,8-D-R-Y,4,130,81,70,4,12
T9,Fringing,3,Post-treatment,Pre-removal,E-Fringing,N,9-E-R-N,5,120,137,120,5,14
T10,Fringing,3,Post-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,5,120,93,60,3,12
T10,Fringing,3,Post-treatment,Pre-removal,E-Fringing,Y,10-E-R-Y,5,120,93,60,2,14
T11,Fringing,3,Post-treatment,Pre-removal,F-Fringing,Y,11-F-R-Y,4,150,70,105,4,13
T12,Fringing,3,Post-treatment,Pre-removal,F-Fringing,N,12-F-R-N,4,80,115,42,4,12
T13,Fringing,3,Post-treatment,Pre-removal,G-Fringing,Y,13-G-R-Y,4,96,120,64,4,14
T14,Fringing,3,Post-treatment,Pre-removal,G-Fringing,N,14-G-R-N,2,40,71,89,2,13
T15,Fringing,3,Post-treatment,Pre-removal,H-Fringing,N,15-H-R-N,2,116,93,122,2,13
T16,Fringing,3,Post-treatment,Pre-removal,H-Fringing,Y,16-H-R-Y,3,81,55,38,3,13
T17,Fringing,3,Post-treatment,Pre-removal,I-Fringing,N,17-I-R-N,3,119,75,76,3,12
T18,Fringing,3,Post-treatment,Pre-removal,I-Fringing,Y,18-I-R-Y,3,90,114,28,3,12
T19,Fringing,3,Post-treatment,Pre-removal,J-Fringing,N,19-J-R-N,4,75,75,37,4,12
T20,Fringing,3,Post-treatment,Pre-removal,J-Fringing,Y,20-J-R-Y,2,106,75,45,2,12
T21,Fringing,3,Post-treatment,Pre-removal,K-Fringing,N,21-K-R-N,2,160,139,105,2,13
